node_id,x_coord,y_coord,name
113,323513.0702,5809282.603,
114,325009.8937,5810350.373,
115,324865.0612,5810371.063,
116,325034.0612,5810521.063,
117,325342.1136,5810861.336,
118,325298.0612,5810894.063,
119,325410.0612,5810844.063,
120,325235.2938,5809897.656,
121,325704.5026,5810550.857,
122,325716.0612,5810488.063,
123,325667.0612,5810615.063,
124,325647.2197,5809844.619,
125,325805.7497,5809824.397,
126,325375.963,5809879.32,
127,320724.6442,5808557.946,
128,320880.0612,5808794.063,
129,320475.0612,5808702.063,
130,320932.0612,5808425.063,
131,320293.0795,5809165.061,
132,319477.5324,5809109.261,
133,319324.0252,5809193.497,
134,319624.1523,5809335.709,
135,319756.8096,5808951.922,
136,319933.98795,5809711.621,
137,320117.9208,5809891.171,
138,319750.0551,5809532.071,
139,320332.9914,5809976.243,
140,320190.164,5810343.832,
141,320430.1843,5809732.121,
142,319309.0918,5809842.05,
143,319502.2192,5810386.573,
144,318935.9599,5810103.434,
145,319233.6044,5809613.259,
146,319070.1842,5810296.301,
147,318850.0612,5810441.063,
148,319002.4674,5810202.632,
149,319200.0612,5810473.063,
150,318587.3953,5810785.264,
151,318714.0776,5810617.076,
152,319100.6005,5810916.5,
153,318081.6396,5810650.358,
154,326577.7428,5809715.609,
155,326519.0612,5809264.063,
156,326322.6137,5809752.903,
157,326798.0025,5809691.649,
158,326468.2293,5808856.494,
159,326224.7703,5808882.623,
160,326684.0339,5808819.712,
161,326212.0612,5808772.063,
162,325925.0538,5808930.66,
163,325867.9497,5808370.123,
164,327107.794,5808755.551,
165,327080.0612,5808470.063,
166,327000.9541,5808772.321,
167,324487.1867,5810415.813,
168,324496.0612,5810500.063,
169,324454.6891,5810227.11,
170,326730.7483,5811401.514,
171,326667.0612,5810883.063,
172,326579.1956,5811419.938,
173,326997.0022,5811367.707,
174,327361.1995,5810806.185,
175,326935.039,5810856.035,
176,326908.0612,5810615.063,
177,326857.0612,5810177.063,
178,327423.7473,5811311.533,
179,324331.9055,5812676.987,
180,323927.0583,5812727.105,
181,324460.0612,5812664.063,
182,324290.0488,5812386.699,
183,323199.7579,5811710.535,
184,323169.0612,5811449.063,
185,322995.0469,5811737.946,
186,323397.2385,5811687.637,
187,323729.0227,5811111.306,
188,323487.0612,5811140.063,
189,323753.9624,5811266.076,
190,323702.524,5810776.232,
191,323134.0612,5811186.063,
192,326832.9454,5814827.894,
193,326796.0612,5814601.063,
194,326967.04915,5814955.0045,
195,326582.8059,5814630.428,
196,326700.5112,5813825.567,
197,327085.0735,5814007.586,
198,326711.0612,5813936.063,
199,326635.1731,5813788.25,
200,327055.9789,5813735.722,
201,327315.0093,5814115.607,
202,327023.2077,5813486.176,
203,326845.576,5813761.986,
204,327261.2703,5813713.571,
205,326887.0612,5813505.063,
206,327261.075,5813455.036,
207,327377.4122,5812908.783,
208,327083.0112,5812048.67,
209,324257.5881,5808605.717,
210,323113.9682,5809338.323,
211,323353.9542,5809308.321,
212,322891.9579,5809366.321,
213,325088.8077,5808759.992,
214,325120.4045,5809047.622,
215,325066.3221,5808486.714,
216,325467.1359,5808428.4185,
217,325867.9497,5808370.123,
218,325066.3221,5808486.714,
219,326737.0612,5809242.063,
220,326773.5612,5809489.743,
221,326654.0612,5808545.063,
222,325897.0612,5808650.063,
223,325182.8042,5809515.961,
224,325236.1824,5809878.13,
225,324379.2899,5809648.169,
226,324329.2856,5809295.279,
227,321198.0612,5808677.063,
228,320842.3925,5809057.336,
229,320628.5343333333,5808430.790333333,
230,320056.4654,5808773.308,
231,322249.0612,5809152.063,
232,322171.7799,5809404.09,
233,322332.9536,5808882.438,
234,323917.0612,5813172.063,
235,323984.0656,5813182.059,
236,323576.9135,5813216.946,
237,323452.0612,5812167.063,
238,323486.055,5812475.698,
239,324268.0612,5812215.063,
240,324193.2574,5811591.65,
241,323848.0612,5812081.063,
242,323887.0582,5812429.695,
243,323798.0071,5811639.685,
244,324652.0612,5811984.063,
245,324695.0218,5812346.659,
246,324603.985,5811543.711,
247,323048.0612,5812217.063,
248,323081.2243,5812526.546,
249,323009.6769,5811905.631,
250,327362.2658,5814138.36,
251,326670.0612,5812597.063,
252,326356.2562,5812634.799,
253,327144.9655,5812534.208,
254,319393.0589,5817409.073,
255,319831.0612,5817350.063,
256,319430.7806,5817704.863,
257,319086.9027,5817450.963,
258,319352.739,5817093.112,
259,320411.6792,5817274.267,
260,320409.8082,5817209.999,
261,320450.4114,5817575.023,
262,319312.3093,5817724.265,
263,318906.7326,5817773.783,
264,318495.1827,5817201.629,
265,318333.0279,5817252.851,
266,319041.1255,5817133.049,
267,320380.9971,5816957.131,
268,321012.9478,5817510.959,
269,320989.0612,5817278.063,
270,321343.0897,5817472.081,
